IRALCFY,IRMJFY,IRCIGFM,IRSMKLSS30N,IRALCFM,IRMJFM,IRCIGAGE,IRSMKLSSTRY,IRALCAGE,IRMJAGE,MRJFLAG,ALCFLAG,TOBFLAG,ALCYDAYS,MRJYDAYS,ALCMDAYS,MRJMDAYS,CIGMDAYS,SMKLSMDAYS,SCHFELT,TCHGJOB,AVGGRADE,STNDSCIG,STNDSMJ,STNDALC,STNDDNK,PARCHKHW,PARHLPHW,PRCHORE2,PRLMTTV2,PARLMTSN,PRGDJOB2,PRPROUD2,ARGUPAR,YOFIGHT2,YOGRPFT2,YOHGUN2,YOSELL2,YOSTOLE2,YOATTAK2,PRPKCIG2,PRMJEVR2,PRMJMO,PRALDLY2,YFLPKCG2,YFLTMRJ2,YFLMJMO,YFLADLY2,FRDPCIG2,FRDMEVR2,FRDMJMON,FRDADLY2,TALKPROB,PRTALK3,PRBSOLV2,PREVIOL2,PRVDRGO2,GRPCNSL2,PREGPGM2,YTHACT2,DRPRVME3,ANYEDUC3,RLGATTD,RLGIMPT,RLGDCSN,RLGFRND,IRSEX,NEWRACE2,HEALTH2,EDUSCHLGO,EDUSCHGRD2,EDUSKPCOM,IMOTHER,IFATHER,INCOME,GOVTPROG,POVERTY3,PDEN10,COUTYP4
1,991,91,91,93,91,991,991,17,991,0,1,0,1,6,5,5,6,5,1,1,2,2,1,2,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,7,0,1,2,1,1,1,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,6,2,1,2,0,1,1,3,2,2,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,2,1,1,1,2,7,3,1,6,0,1,1,2,1,2,1,1
36,991,1,91,2,91,12,991,12,991,0,1,1,2,6,1,5,1,5,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,7,1,1,6,0,2,2,3,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,NA,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,5,0,1,1,4,2,3,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,1,3,0,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,7,4,1,4,0,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,3,1,7,0,1,1,3,2,2,2,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,2,NA,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,3,1,4,0,1,1,4,2,3,1,1
993,993,93,91,93,93,13,991,2,13,1,1,1,6,6,5,5,6,5,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,6,4,1,7,99,1,2,2,1,2,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,3,1,4,0,1,2,2,1,2,2,2
26,24,93,91,1,1,13,991,13,15,1,1,1,2,2,1,1,6,5,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,3,2,99,99,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,1,1,5,0,2,1,1,2,1,2,2
991,993,91,91,91,93,991,991,991,15,1,0,0,6,6,5,5,6,5,1,2,NA,NA,1,NA,NA,1,1,1,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,2,1,7,0,2,1,2,1,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,5,3,1,6,1,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,NA,NA,NA,NA,1,2,1,2,2,2,2,1,2,2,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,2,2,2,2,2,2,1,2,2,NA,NA,2,1,2,2,2,99,99,1,2,2,2,2,2,2
4,1,91,91,93,93,991,991,9,12,1,1,0,1,1,5,5,6,5,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,3,2,99,99,1,2,3,2,3,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,1,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,4,1,6,0,1,1,2,2,2,2,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,6,1,1,6,0,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,7,3,1,8,0,1,1,4,1,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,5,0,1,1,2,2,2,2,3
8,991,91,91,93,91,991,991,15,991,0,1,0,1,6,5,5,6,5,1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,7,3,1,6,99,1,1,2,2,2,2,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,NA,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,5,0,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,1,2,2,2,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,1,6,0,1,1,3,1,2,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,NA,2,2,1,2,2,2,2,2,6,2,1,2,0,1,1,3,2,2,2,2
993,991,91,91,93,91,991,991,14,991,0,1,0,6,6,5,5,6,5,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,6,0,2,2,2,1,2,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,4,0,1,2,4,2,3,2,2
48,364,91,91,6,30,991,991,12,11,1,1,0,2,5,3,4,6,5,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,7,4,2,99,99,2,2,2,2,2,2,2
1,991,91,91,1,91,991,991,12,991,0,1,0,1,6,1,5,6,5,1,1,NA,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,1,3,1,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,8,2,1,1,2,2,2,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,1,1,1,NA,1,1,1,2,NA,NA,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,2,2,2,2,2,2,1,1,2,1,1,2,2,7,2,1,5,0,1,1,3,2,2,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,8,0,2,2,1,1,1,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,7,3,1,4,0,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,5,0,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,3,0,1,1,4,2,3,2,3
1,991,91,91,93,91,991,991,14,991,0,1,0,1,6,5,5,6,5,1,1,2,1,1,1,1,1,1,1,2,2,1,1,NA,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,99,99,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,7,1,1,7,0,1,2,1,1,1,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,4,0,1,1,4,2,3,2,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,3,1,4,1,1,2,1,2,1,3,3
6,991,91,91,93,91,991,991,16,991,0,1,0,1,6,5,5,6,5,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,8,0,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,2,2,3,1,2,1,1,1,4,1,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,2,2,2,2,2,2,1,1,2,2,1,2,2,6,3,1,4,2,1,2,2,1,2,2,2
6,993,91,91,93,93,991,991,13,13,1,1,0,1,6,5,5,6,5,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,6,3,1,4,0,1,2,1,1,1,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,2,1,5,0,1,1,2,1,1,2,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,5,99,1,2,1,1,1,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,4,0,1,2,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,NA,NA,NA,NA,1,1,1,1,2,NA,1,1,2,2,2,2,2,2,1,NA,1,1,1,1,1,1,NA,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,2,1,3,0,1,1,1,2,1,2,2
12,1,91,91,93,93,991,991,14,16,1,1,0,2,1,5,5,6,5,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,NA,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,7,4,1,1,2,2,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,3,2,1,4,0,1,1,2,1,2,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,5,0,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,7,2,1,2,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,NA,NA,NA,NA,NA,2,2,1,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,1,NA,2,2,NA,1,2,1,NA,NA,2,1,2,2,99,99,1,1,4,1,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,2,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,2,2,2,1,2,2,6,2,1,7,0,1,2,2,2,2,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,2,2,1,5,0,1,1,2,1,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,7,2,1,3,0,1,1,4,2,2,2,3
52,104,93,91,93,3,14,991,14,14,1,1,1,3,4,5,2,6,5,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,7,0,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,NA,2,2,2,2,NA,NA,NA,NA,1,NA,2,1,1,2,1,3,0,2,1,4,2,3,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,2,7,2,1,6,3,1,2,1,1,1,2,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,2,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,NA,1,2,2,2,2,1,1,1,1,1,1,1,1,1,NA,NA,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,3,1,2,98,1,2,1,1,1,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,3,1,6,0,1,1,4,2,3,2,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,1,2,2,1,1,1,1,7,99,1,1,2,2,2,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,NA,2,2,2,2,2,1,1,2,2,2,2,2,7,3,2,99,99,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,4,0,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,1,4,0,1,1,3,2,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,7,99,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,3,1,6,99,2,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,7,0,1,1,4,2,3,2,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,2,2,2,2,2,1,1,1,1,1,2,1,1,2,1,3,0,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,4,0,1,1,4,2,2,3,3
36,260,91,91,93,93,991,991,14,15,1,1,0,2,4,5,5,6,5,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,8,1,1,1,4,2,3,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,99,99,1,1,3,2,2,1,1
991,991,93,91,91,91,16,991,991,991,0,0,1,6,6,5,5,6,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,97,98,98,1,1,3,1,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,2,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,3,0,1,1,4,1,3,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,2,1,6,0,1,1,2,2,2,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,7,2,1,4,0,1,2,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,7,99,1,1,4,2,3,2,2
6,991,91,91,1,91,991,991,13,991,0,1,0,1,6,1,5,6,5,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,99,99,1,1,4,2,3,2,2
3,993,91,91,93,93,991,991,13,13,1,1,0,1,6,5,5,6,5,2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,1,1,1,2,1,3,1,5,0,1,2,3,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,3,0,1,2,2,1,1,1,1
5,991,91,91,1,91,991,991,13,991,0,1,0,1,6,1,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,6,2,1,1,3,2,2,2,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,5,99,1,1,4,2,3,2,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,2,7,3,1,6,0,1,1,2,1,1,1,1
3,993,91,91,93,93,991,991,16,14,1,1,0,1,6,5,5,6,5,1,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,7,4,1,7,0,1,1,2,1,2,1,1
